id,MouseID,Male,Stage,TreatmentBase,Propranolol,Birthdate,BW_8.11.2021,BW_15.11.2021,BW_18.11.2021,BW_24.11.2021,BW_29.11.2021,FastingHours,BWBeforeFasting,BWAfterFasting,Treatment ,Glc_0,Glc_15,Glc_30,Glc_45,Glc_60,Glc_120,DistanceAcute,SpeedAcute,DistanceChronic,SpeedChronic
30,C292,TRUE,1,Menthol,TRUE,09/01/21,,,,,,4,24.2,,Insulin,175,142,131,107,172,143,,,,
31,C293,TRUE,1,Menthol,TRUE,09/01/21,,,,,,4,24.7,,Insulin,168,122,104,110,111,120,,,,
32,C289,TRUE,2,Menthol,TRUE,09/01/21,,,,,,12,25,22.7,Pyruvate,73,113,169,169,156,82,,,,
33,C290,TRUE,2,Menthol,TRUE,09/01/21,,,,,,12,25.9,24.2,Pyruvate,77,114,154,161,141,80,,,,
34,C291,TRUE,2,Menthol,TRUE,09/01/21,,,,,,12,26.5,24.4,Pyruvate,80,126,136,146,160,64,,,,
35,C292,TRUE,2,Menthol,TRUE,09/01/21,,,,,,12,24.7,22.3,Pyruvate,92,114,147,135,129,70,,,,
36,C293,TRUE,2,Menthol,TRUE,09/01/21,,,,,,12,24.3,22.8,Pyruvate,68,82,134,140,159,70,,,,
37,C289,TRUE,3,Menthol,TRUE,09/01/21,,,,,,,,,,,,,,,,75.859,0.084,,
38,C290,TRUE,3,Menthol,TRUE,09/01/21,,,,,,,,,,,,,,,,75.697,0.084,,
39,C291,TRUE,3,Menthol,TRUE,09/01/21,,,,,,,,,,,,,,,,66.002,0.073,,
40,C292,TRUE,3,Menthol,TRUE,09/01/21,,,,,,,,,,,,,,,,71.339,0.079,,
41,C293,TRUE,3,Menthol,TRUE,09/01/21,,,,,,,,,,,,,,,,41.599,0.046,,
42,C294,TRUE,0,Menthol,TRUE,09/01/21,25.5,27.1,27.6,27.9,27,,,,,,,,,,,,,,
43,C295,TRUE,0,Menthol,TRUE,09/01/21,23,24.3,25.5,25.2,24.6,,,,,,,,,,,,,,
44,C296,TRUE,0,Menthol,TRUE,09/01/21,23.3,24.7,25.9,24.9,23.5,,,,,,,,,,,,,,
45,C297,TRUE,0,Menthol,TRUE,09/01/21,22.7,23.6,24.3,24,22.9,,,,,,,,,,,,,,
46,C298,TRUE,0,Menthol,TRUE,09/01/21,23.3,23.8,24.9,23.7,,,,,,,,,,,,,,,
47,C294,TRUE,1,Menthol,TRUE,09/01/21,,,,,,12,26.6,25.6,Glucose,73,292,278,248,202,98,,,,
48,C295,TRUE,1,Menthol,TRUE,09/01/21,,,,,,12,24.4,23.3,Glucose,83,319,290,235,195,85,,,,
49,C297,TRUE,1,Menthol,TRUE,09/01/21,,,,,,12,22.8,21.8,Glucose,86,323,279,231,191,75,,,,
50,C298,TRUE,1,Menthol,TRUE,09/01/21,,,,,,12,23.8,22.8,Glucose,108,263,151,138,124,83,,,,
51,C294,TRUE,2,Menthol,TRUE,09/01/21,,,,,,,,,,,,,,,,,,49.069,0.055
52,C295,TRUE,2,Menthol,TRUE,09/01/21,,,,,,,,,,,,,,,,,,35.134,0.039
53,C297,TRUE,2,Menthol,TRUE,09/01/21,,,,,,,,,,,,,,,,,,38.912,0.043
54,C298,TRUE,2,Menthol,TRUE,09/01/21,,,,,,,,,,,,,,,,,,41.381,0.046
55,C299,TRUE,0,Menthol,FALSE,09/01/21,24,25.6,26.1,25.9,26.7,,,,,,,,,,,,,,
56,C300,TRUE,0,Menthol,FALSE,09/01/21,23.3,23.6,24.4,25.6,24.9,,,,,,,,,,,,,,
57,C301,TRUE,0,Menthol,FALSE,09/01/21,23,24.4,25.6,26.6,26,,,,,,,,,,,,,,
58,C302,TRUE,0,Menthol,FALSE,09/01/21,23.6,24.6,25.1,25.6,26.2,,,,,,,,,,,,,,
59,C303,TRUE,0,Menthol,FALSE,09/01/21,28.7,30.3,31.6,31.6,30.9,,,,,,,,,,,,,,
60,C299,TRUE,1,Menthol,FALSE,09/01/21,,,,,,4,26.8,,Insulin,148,125,94,115,116,102,,,,
61,C300,TRUE,1,Menthol,FALSE,09/01/21,,,,,,4,25.3,,Insulin,155,132,105,108,114,95,,,,
62,C301,TRUE,1,Menthol,FALSE,09/01/21,,,,,,4,25.8,,Insulin,137,159,109,110,140,106,,,,
63,C302,TRUE,1,Menthol,FALSE,09/01/21,,,,,,4,25.3,,Insulin,133,124,105,83,90,90,,,,
64,C303,TRUE,1,Menthol,FALSE,09/01/21,,,,,,4,30.5,,Insulin,172,151,114,105,113,140,,,,
65,C299,TRUE,2,Menthol,FALSE,09/01/21,,,,,,12,27,24.9,Pyruvate,64,133,158,174,152,61,,,,
66,C300,TRUE,2,Menthol,FALSE,09/01/21,,,,,,12,25.5,23.2,Pyruvate,63,122,144,143,132,68,,,,
67,C301,TRUE,2,Menthol,FALSE,09/01/21,,,,,,12,26,24,Pyruvate,63,115,180,183,160,64,,,,
68,C302,TRUE,2,Menthol,FALSE,09/01/21,,,,,,12,25.4,23.9,Pyruvate,63,121,152,166,130,53,,,,
69,C303,TRUE,2,Menthol,FALSE,09/01/21,,,,,,12,30.8,27.8,Pyruvate,82,112,185,153,154,94,,,,
70,C304,TRUE,0,Menthol,FALSE,09/01/21,25,25.7,25.7,26.3,26.5,,,,,,,,,,,,,,
71,C305,TRUE,0,Menthol,FALSE,09/01/21,22.5,24.8,25.6,26,26,,,,,,,,,,,,,,
72,C306,TRUE,0,Menthol,FALSE,09/01/21,24.3,25.6,26.7,27,27.6,,,,,,,,,,,,,,
73,C307,TRUE,0,Menthol,FALSE,09/01/21,24.3,23.7,24.3,24.8,25.2,,,,,,,,,,,,,,
74,C308,TRUE,0,Menthol,FALSE,09/01/21,23.2,24.2,24.8,25.2,25.2,,,,,,,,,,,,,,
75,C304,TRUE,1,Menthol,FALSE,09/01/21,,,,,,12,24.2,23.4,Glucose,84,283,241,214,191,85,,,,
76,C305,TRUE,1,Menthol,FALSE,09/01/21,,,,,,12,25.2,24.4,Glucose,72,287,287,214,197,97,,,,
77,C306,TRUE,1,Menthol,FALSE,09/01/21,,,,,,12,26.4,24.7,Glucose,97,309,248,196,222,73,,,,
78,C307,TRUE,1,Menthol,FALSE,09/01/21,,,,,,12,26,23.2,Glucose,111,317,287,217,188,101,,,,
79,C308,TRUE,1,Menthol,FALSE,09/01/21,,,,,,12,23.5,22.6,Glucose,89,352,231,198,168,73,,,,
80,C304,TRUE,2,Menthol,FALSE,09/01/21,,,,,,,,,,,,,,,,63.524,0.071,,
81,C305,TRUE,2,Menthol,FALSE,09/01/21,,,,,,,,,,,,,,,,49.128,0.055,,
82,C306,TRUE,2,Menthol,FALSE,09/01/21,,,,,,,,,,,,,,,,69.249,0.077,,
83,C307,TRUE,2,Menthol,FALSE,09/01/21,,,,,,,,,,,,,,,,78.727,0.087,,
84,C308,TRUE,2,Menthol,FALSE,09/01/21,,,,,,,,,,,,,,,,77.91,0.087,,
85,C304,TRUE,3,Menthol,FALSE,09/01/21,,,,,,,,,,,,,,,,,,65.835,0.073
86,C305,TRUE,3,Menthol,FALSE,09/01/21,,,,,,,,,,,,,,,,,,37.725,0.042
87,C306,TRUE,3,Menthol,FALSE,09/01/21,,,,,,,,,,,,,,,,,,65.77,0.073
88,C307,TRUE,3,Menthol,FALSE,09/01/21,,,,,,,,,,,,,,,,,,44.414,0.049
89,C308,TRUE,3,Menthol,FALSE,09/01/21,,,,,,,,,,,,,,,,,,60.257,0.067
90,C309,TRUE,0,Vehicle,FALSE,09/01/21,25.2,26.4,26.8,27.8,27.8,,,,,,,,,,,,,,
91,C310,TRUE,0,Vehicle,FALSE,09/01/21,26.2,27,27.8,27.6,28.2,,,,,,,,,,,,,,
92,C311,TRUE,0,Vehicle,FALSE,09/01/21,24.6,25.1,25.9,26.1,26,,,,,,,,,,,,,,
93,C312,TRUE,0,Vehicle,FALSE,09/01/21,22.9,23.7,24.6,24.8,24.5,,,,,,,,,,,,,,
94,C313,TRUE,0,Vehicle,FALSE,09/01/21,22.3,23.5,24.1,24.5,23.5,,,,,,,,,,,,,,
95,C309,TRUE,1,Vehicle,FALSE,09/01/21,,,,,,4,28.8,,Insulin,174,119,134,116,136,142,,,,
96,C310,TRUE,1,Vehicle,FALSE,09/01/21,,,,,,4,28.9,,Insulin,132,129,136,99,110,150,,,,
97,C311,TRUE,1,Vehicle,FALSE,09/01/21,,,,,,4,27,,Insulin,160,128,93,80,98,129,,,,
98,C312,TRUE,1,Vehicle,FALSE,09/01/21,,,,,,4,24.9,,Insulin,132,138,113,118,125,145,,,,
99,C313,TRUE,1,Vehicle,FALSE,09/01/21,,,,,,4,23.8,,Insulin,137,118,104,103,119,134,,,,
100,C309,TRUE,2,Vehicle,FALSE,09/01/21,,,,,,12,29.2,26.3,Pyruvate,70,106,139,139,120,73,,,,
101,C310,TRUE,2,Vehicle,FALSE,09/01/21,,,,,,12,29.6,26.3,Pyruvate,72,152,137,151,144,73,,,,
102,C311,TRUE,2,Vehicle,FALSE,09/01/21,,,,,,12,27.4,24.6,Pyruvate,68,158,154,137,149,89,,,,
103,C312,TRUE,2,Vehicle,FALSE,09/01/21,,,,,,12,25.7,23.5,Pyruvate,65,107,115,105,97,77,,,,
104,C313,TRUE,2,Vehicle,FALSE,09/01/21,,,,,,12,24.7,22.3,Pyruvate,72,111,131,140,130,69,,,,
105,C309,TRUE,3,Vehicle,FALSE,09/01/21,,,,,,,,,,,,,,,,33.243,0.037,,
106,C310,TRUE,3,Vehicle,FALSE,09/01/21,,,,,,,,,,,,,,,,51.935,0.058,,
107,C311,TRUE,3,Vehicle,FALSE,09/01/21,,,,,,,,,,,,,,,,24.724,0.027,,
108,C312,TRUE,3,Vehicle,FALSE,09/01/21,,,,,,,,,,,,,,,,40.358,0.045,,
109,C313,TRUE,3,Vehicle,FALSE,09/01/21,,,,,,,,,,,,,,,,32.036,0.036,,
110,C314,TRUE,0,none,FALSE,09/01/21,21.8,22.2,22.4,23.7,,,,,,,,,,,,,,,
111,C315,TRUE,0,none,FALSE,09/01/21,22.7,23.3,23.3,24.2,,,,,,,,,,,,,,,
112,C316,TRUE,0,none,FALSE,09/01/21,23.5,24,24.9,25.1,,,,,,,,,,,,,,,
113,C317,TRUE,0,none,FALSE,09/01/21,20.2,21,21.7,22.9,,,,,,,,,,,,,,,
114,C318,TRUE,0,none,FALSE,09/01/21,23.7,24.3,24.6,25.7,,,,,,,,,,,,,,,
115,C319,TRUE,0,Vehicle,FALSE,09/01/21,24.1,25.1,25.1,25.5,25.5,,,,,,,,,,,,,,
116,C320,TRUE,0,Vehicle,FALSE,09/01/21,26.1,27.4,27.8,28.1,27.8,,,,,,,,,,,,,,
117,C321,TRUE,0,Vehicle,FALSE,09/01/21,22.6,24.2,24.9,25.4,26.3,,,,,,,,,,,,,,
118,C322,TRUE,0,none,FALSE,09/01/21,21.6,23,23.5,23.7,24.5,,,,,,,,,,,,,,
119,C323,TRUE,0,none,FALSE,09/01/21,20.8,22.5,22.4,23.6,24.2,,,,,,,,,,,,,,
120,C319,TRUE,1,Vehicle,FALSE,09/01/21,,,,,,12,24.5,23.6,Glucose,108,389,268,206,181,97,,,,
121,C320,TRUE,1,Vehicle,FALSE,09/01/21,,,,,,12,26.5,25.8,Glucose,82,332,242,266,169,77,,,,
122,C321,TRUE,1,Vehicle,FALSE,09/01/21,,,,,,12,25,23.4,Glucose,87,365,261,222,185,77,,,,
123,C322,TRUE,1,none,FALSE,09/01/21,,,,,,12,23,21.6,Glucose,93,302,273,214,189,97,,,,
124,C323,TRUE,1,none,FALSE,09/01/21,,,,,,12,22.7,21.5,Glucose,92,318,111,134,102,77,,,,
125,C319,TRUE,2,Vehicle,FALSE,09/01/21,,,,,,,,,,,,,,,,,,29.727,0.033
126,C320,TRUE,2,Vehicle,FALSE,09/01/21,,,,,,,,,,,,,,,,,,42.66,0.047
127,C321,TRUE,2,Vehicle,FALSE,09/01/21,,,,,,,,,,,,,,,,,,41.548,0.046
128,C322,TRUE,2,none,FALSE,09/01/21,,,,,,,,,,,,,,,,,,28.152,0.031
129,C323,TRUE,2,none,FALSE,09/01/21,,,,,,,,,,,,,,,,,,42.196,0.047
=,,,,,,,,,,,,,,,,,,,,,,,,,

